id,species,subject,grade
282,elv,magic,1.977168356479448
283,orc,combat,3.590541415635439
284,elv,combat,2.466580223177278
285,orc,combat,4.012590705967106
286,elv,combat,2.8166140530371133
287,elv,combat,3.865747806154239
288,orc,combat,2.516187568638993
289,elv,dance,1.7853874401602683
290,elv,magic,2.1027656056150414
291,orc,combat,3.5488903004565246
292,orc,magic,1.506050872404679
293,orc,combat,2.7385336644209772
294,elv,magic,1.067622029242453
295,elv,magic,2.3533844471663268
296,orc,combat,3.0837253906633664
297,orc,combat,3.677043794843351
298,elv,magic,1.8808831755254813
299,orc,magic,1.9815316807511603
300,elv,magic,2.1105729859203723
301,orc,magic,1.303631362797386
302,elv,magic,2.3780114099419016
303,orc,combat,3.8466331083594403
304,elv,magic,2.2186483225948233
305,elv,magic,2.030632702792171
306,elv,combat,3.3302579234847633
307,orc,combat,3.7532059858971865
308,orc,combat,2.893777870528675
309,elv,dance,1.7060299859618009
310,orc,combat,3.4941766220235726
311,elv,magic,2.606297882124208
312,orc,combat,2.8821682516343867
313,orc,combat,3.0880801227695014
314,elv,magic,2.227228481964204
315,orc,magic,1.2356480811732693
316,elv,magic,1.2752630476215425
317,elv,magic,2.321160268490658
318,elv,magic,2.606886450083189
319,orc,combat,4.4193096194402655
320,orc,combat,3.1247601643398792
321,elv,magic,1.8411320743089827
322,elv,magic,1.9133838676074855
323,elv,magic,2.8954734478916917
324,elv,magic,2.309917635503021
325,elv,combat,2.4059596704889623
326,orc,combat,4.313605859230313
327,orc,magic,1.653519219745748
328,orc,magic,2.14225252958591
329,elv,magic,2.263209492410787
330,orc,combat,3.650085270628649
331,elv,magic,1.6300519242006755
332,elv,magic,1.525169825296689
333,orc,combat,3.1876090451242294
334,orc,combat,3.83983272287798
335,elv,magic,2.9711342767759614
336,elv,magic,1.5007367437965085
337,elv,magic,2.2862360907330386
338,orc,magic,1.4414934890110525
339,elv,combat,4.136892292667965
340,orc,combat,3.3567961049483337
341,elv,magic,1.8809786263038912
342,elv,dance,1.5182078592489963
343,elv,combat,3.1994953002097657
344,orc,dance,1.3781352029561895
345,orc,combat,3.997089348797405
346,elv,combat,2.8712699540989615
347,orc,magic,1.7514103067713154
348,elv,dance,1.5804691170890948
349,orc,combat,4.100906614729951
350,orc,combat,3.523677891008226
351,elv,dance,2.1486920477206235
352,elv,magic,2.817903788758572
353,orc,combat,2.2426000563077766
354,elv,magic,1.7865165206231908
355,elv,magic,2.4747393735807095
356,elv,magic,1.9810909101699938
357,elv,dance,1.4298764666284665
358,orc,combat,2.1978818150888184
359,elv,magic,2.49189540626901
360,orc,combat,3.9826383983582354
361,elv,dance,1.2854129221306687
362,orc,magic,1.8519239839982653
363,elv,magic,1.6464761704576256
364,orc,magic,1.4800931526569465
365,orc,magic,1.9346246749686662
366,orc,combat,3.468567118666476
367,elv,combat,3.604984745137162
368,orc,combat,3.9539859907418986
369,orc,magic,1.803626659534871
370,orc,combat,3.018097684380507
371,elv,magic,2.6343611445891977
372,orc,combat,3.6901035480127766
373,elv,magic,1.5417844360969999
374,orc,magic,1.98894187887357
375,elv,magic,2.1874250910739685
376,elv,combat,3.2069900911205176
377,elv,magic,1.449872091833531
378,orc,combat,4.107446215099708
379,orc,combat,2.85949855629364
380,orc,combat,2.157322885805187
381,elv,dance,1.392971342927542
382,elv,dance,1.9121222922611243
383,elv,magic,2.6920260858071625
384,orc,combat,4.583272649360026
385,elv,dance,1.789933821601156
386,elv,combat,5.0
387,orc,combat,2.3468631765958166
388,elv,magic,2.365190580158888
389,elv,magic,2.115753689217345
390,elv,magic,1.6874471838259488
391,orc,combat,3.3393039512947973
392,orc,combat,4.002224052182872
393,orc,combat,3.2593628959929326
394,elv,magic,2.0448577766052183
395,elv,magic,1.6825621117834875
396,elv,combat,4.322136675182728
397,elv,magic,2.9969339581544547
398,orc,magic,2.4895013624698143
399,orc,magic,2.510719600585938
400,elv,magic,2.0231151703874186
401,elv,dance,1.549624727462288
402,orc,combat,3.053918084574903
403,elv,magic,2.014774130150057
404,elv,magic,2.827537167886271
405,elv,dance,1.2933161678763234
406,elv,magic,2.3356338875555718
407,elv,magic,2.0273092912507935
408,elv,dance,1.1935472110740557
409,elv,magic,1.278083394754583
410,elv,magic,2.496680066392565
411,orc,combat,3.732284927096341
412,elv,magic,2.2756056517719276
413,elv,magic,2.5570813003001467
414,elv,magic,1.4208207192431201
415,elv,dance,1.6643043684360517
416,elv,magic,1.2901879872200008
417,elv,magic,1.7304548514239617
418,elv,magic,2.0641846832076265
419,elv,magic,2.0855919044486604
420,orc,magic,1.3518505947707817
421,elv,magic,1.3916280465754078
422,elv,dance,2.229016717510148
423,elv,magic,1.7835725602749328
424,orc,magic,1.2221180403768575
425,orc,combat,3.637898073174107
426,elv,magic,2.8647277067144032
427,orc,combat,3.934102960624153
428,orc,magic,1.8833985913717677
429,orc,combat,4.375115593396691
430,elv,dance,1.816117690533717
431,elv,dance,2.376550129592257
432,elv,magic,2.2693880326845166
433,orc,combat,3.5905487976970707
434,orc,combat,3.4563263841617062
435,orc,magic,1.9195580628285878
436,elv,magic,2.8136662309335483
437,orc,combat,3.82965117519797
438,elv,magic,2.65796935064464
439,orc,combat,2.9324818853852976
440,elv,magic,1.5497139043408286
441,orc,combat,3.20047216542037
442,elv,magic,2.581738507858809
443,orc,combat,3.0702226830360866
444,orc,magic,2.6765309586478563
445,orc,combat,3.1922178029541515
446,orc,magic,2.3630539586769763
447,orc,combat,2.6196306275899643
448,orc,combat,3.277373270954786
449,elv,dance,1.833313790224873
450,orc,combat,3.265709729905173
451,elv,combat,3.553222963939476
452,elv,magic,1.9665356709870196
453,elv,combat,3.4038262997935447
454,orc,combat,3.1727063518814558
455,orc,magic,1.6432550483829826
456,elv,magic,2.4049087358452965
457,elv,magic,1.8561812951009697
458,orc,combat,2.6588745393910624
459,orc,combat,3.827367743605596
460,orc,combat,3.5725264425472916
461,elv,magic,2.363781438299421
462,orc,combat,2.4424071472009374
463,elv,magic,1.8482519672232427
464,orc,combat,3.4040941098791424
465,orc,magic,2.0210988402819225
466,orc,combat,4.135396977267943
467,orc,combat,3.911626622765348
468,elv,combat,3.880263149505587
469,orc,magic,1.5329285520487699
470,orc,dance,1.040347033465177
471,elv,magic,2.412832498750314
472,elv,magic,2.3294702103662868
473,elv,combat,3.7341304324029396
474,elv,magic,1.8621514752182606
475,orc,combat,2.939036257321186
476,orc,combat,1.763145151256956
477,orc,combat,2.9914741676748418
478,elv,dance,1.1786332694019388
479,elv,magic,2.2598996406497673
480,orc,combat,2.5927729915412785
481,elv,dance,1.5004187821781116
482,orc,combat,2.749939690552802
483,orc,magic,1.2538353466790244
484,orc,combat,3.9574801203159007
485,elv,dance,1.696030162214835
486,orc,magic,2.325229055107235
487,elv,magic,2.3347403651871264
488,elv,magic,1.724558714616458
489,orc,combat,3.1079333308891246
490,orc,magic,1.394130266074961
491,elv,magic,3.2515851325490184
492,orc,combat,2.7789670651020164
493,orc,combat,4.09572947890553
494,orc,magic,2.5813007477569814
495,orc,magic,1.9457036594251642
496,elv,magic,1.2499336474281568
497,elv,combat,3.9551196232536148
498,orc,combat,2.602965493641109
499,orc,combat,3.6105245032254976
500,orc,combat,2.2686555858216826
501,elv,magic,2.627067568815952
502,elv,magic,2.0591298714964084
503,elv,magic,2.062670766991456
504,orc,magic,1.9618278867129673
505,orc,combat,1.8683130861001962
506,elv,magic,2.1353074053949856
507,orc,combat,3.8371212216661346
508,orc,combat,4.198446387500609
509,orc,combat,4.748394987268262
510,elv,magic,2.482821971201272
511,elv,magic,2.2408755476171844
512,elv,magic,2.4626584261961546
513,elv,magic,2.3867995284650965
514,orc,magic,2.465864011904162
515,elv,magic,1.9801397469293498
516,orc,combat,3.2587369510226676
517,orc,combat,4.057072581671428
518,elv,magic,2.2669183501057244
519,elv,combat,2.652825504911193
520,orc,magic,2.209328063701557
521,elv,combat,4.052601922055811
522,orc,magic,1.0
523,elv,magic,2.0453276775870752
524,elv,magic,2.5807843980447176
525,elv,combat,3.6916145989960962
526,orc,magic,1.0
527,elv,magic,2.028031584410312
528,elv,magic,2.375111727448837
529,elv,magic,2.439804784879556
530,elv,combat,3.3271121586011727
531,elv,dance,1.6584211315603294
532,elv,magic,2.159303007208908
533,elv,combat,3.20988675098608
534,elv,dance,1.0788879480169773
535,orc,combat,3.2012460451690408
536,elv,magic,1.8064657350634528
537,elv,magic,1.4947258528424383
538,elv,magic,2.331045418689845
539,orc,combat,4.138809089259084
540,orc,combat,4.77032520251601
541,elv,combat,3.335610034709851
542,orc,combat,2.6555154286456233
543,orc,combat,3.776982494606966
544,elv,combat,2.9715207158725
545,elv,dance,1.6412942234627395
546,orc,combat,1.6726940018328644
547,orc,magic,1.9955955192878017
548,orc,dance,1.5654264702036482
549,elv,dance,1.4143132564801308
550,elv,combat,3.1033779662057794
551,orc,combat,3.276085094553835
552,orc,magic,1.1768602519847202
553,orc,combat,2.4832829642506504
554,orc,combat,3.0236648100293784
555,orc,combat,3.7618228340616153
556,orc,combat,4.099378977112952
557,orc,combat,3.2171897469987214
558,orc,dance,1.0
559,elv,magic,2.557356579467467
560,orc,combat,4.410349400353175
561,orc,magic,1.7981501622834817
562,elv,combat,4.126284231375596
563,elv,magic,2.8725299752524887
564,elv,dance,2.1028443904323613
565,elv,magic,2.486583954599718
566,elv,magic,1.7185341772403442
567,orc,combat,3.730442532899489
568,orc,combat,3.3317136951390816
569,orc,dance,1.1846082237093596
570,elv,magic,1.8922977928203082
571,elv,magic,2.103075010430101
572,elv,magic,2.3010386175988944
573,orc,combat,3.4468331905493885
574,orc,dance,1.0651068726918815
575,orc,magic,2.0438746694918173
576,orc,combat,2.970438668927768
577,elv,combat,3.3498639956351974
578,orc,magic,2.253281927427808
579,orc,combat,3.12068962315841
580,elv,magic,2.593509136005539
581,elv,magic,1.538404209978557
582,orc,combat,2.0695106846533653
583,orc,combat,3.1784823582090294
584,elv,magic,2.2062146359887738
585,orc,magic,1.860869775535157
586,elv,combat,3.104370267188836
587,elv,dance,1.634393613371167
588,elv,dance,1.6849330747997056
589,orc,combat,4.516076266041246
590,elv,combat,3.1174611983716325
591,elv,magic,1.6190444133013386
592,elv,magic,1.2420202126694977
593,elv,magic,2.0328720861666576
594,orc,combat,3.6046136049092614
595,elv,combat,4.219260008792509
596,orc,combat,2.1788759313454436
597,orc,combat,3.654637779531893
598,elv,magic,2.298698315330187
599,elv,combat,3.6110403970240377
600,elv,magic,1.626621771055276
601,elv,magic,1.0
602,elv,magic,1.9763654384590408
603,elv,magic,2.259380768221909
604,elv,dance,1.4878695508704098
605,orc,dance,1.0491734847164582
606,orc,combat,2.6313989427730964
607,elv,magic,2.5185978575636354
608,elv,magic,2.1591176415698596
609,elv,magic,1.9002810427702492
610,elv,magic,1.8136516847085928
611,elv,magic,2.642961720535853
612,elv,magic,2.297754859249868
613,elv,magic,1.9138586923889407
614,elv,dance,1.7322925808197247
615,orc,combat,2.927769412330857
616,orc,combat,3.2603141007422707
617,elv,magic,1.796726248412409
618,elv,magic,2.091228426623478
619,orc,magic,1.933080479770715
620,orc,combat,3.060027798192788
621,elv,magic,2.1832928623249384
622,elv,magic,2.7028198249755153
623,orc,combat,2.6071726553777155
624,elv,combat,5.0
625,elv,magic,1.963347536203638
626,orc,combat,3.8491726907653567
627,elv,combat,3.8443820086857627
628,orc,magic,1.2864492849159845
629,elv,magic,2.5034584579923793
630,orc,combat,3.3297174067264836
631,elv,magic,1.600867381209531
632,orc,dance,1.5405073003058265
633,elv,magic,2.4127641556040267
634,orc,magic,2.5537851068123265
635,orc,combat,2.6362803247114313
636,elv,magic,2.183496620948582
637,orc,magic,1.2291993457433867
638,elv,dance,2.1871251421694176
639,elv,magic,2.339047306350106
640,orc,combat,1.7950852825620132
641,elv,combat,4.452113055846975
642,orc,combat,4.250613056398073
643,orc,combat,2.3170345568543356
644,elv,magic,3.2330007063431054
645,elv,magic,2.2812126295076904
646,elv,combat,4.640606452420997
647,elv,magic,2.5866506254168398
648,elv,dance,1.9697073717041778
649,elv,combat,4.259850711092608
650,orc,magic,1.5856029456646183
651,orc,dance,1.3055226741466557
652,elv,magic,2.539635918528402
653,orc,combat,3.9574522090315756
654,elv,magic,2.5320371422058217
655,orc,combat,3.869089640980486
656,orc,combat,2.824219401880407
657,elv,magic,1.4299007453139458
658,orc,magic,2.2257026760142127
659,elv,magic,2.8548899899606246
660,orc,combat,3.3410629463942723
661,orc,magic,1.3885676933164346
662,elv,magic,3.0665313767135602
663,orc,combat,3.9013086058228854
664,orc,combat,3.215399251977476
665,orc,combat,2.5668497761358475
666,elv,magic,1.5704953307223888
667,elv,combat,3.2803217791346344
668,elv,magic,2.101086205862556
669,elv,magic,2.1652278711821427
670,elv,magic,2.5939994808368008
671,orc,magic,1.7458914464688655
672,elv,combat,2.5747019554465522
673,elv,magic,1.1006884183310943
674,elv,magic,2.267571731365618
675,orc,combat,3.747713569350492
676,orc,combat,3.8278607648116485
677,orc,combat,4.429352068465558
678,orc,combat,3.1224110581578848
679,orc,combat,2.9087178112868375
680,elv,combat,4.206490127678343
681,elv,magic,2.0729405400728877
682,elv,dance,1.6186042178812228
683,orc,combat,3.2134139411194287
684,elv,magic,2.7349865460905627
685,orc,combat,2.566312974935979
686,orc,combat,3.8165894621809446
687,orc,combat,2.754029297160532
688,elv,magic,2.225524485587606
689,elv,dance,1.8053219324358745
690,orc,magic,1.0633025356595085
691,orc,combat,3.162771544959601
692,elv,magic,2.091854905290215
693,orc,combat,3.896153432443116
694,elv,magic,3.6054877480036454
695,elv,magic,2.597721199983215
696,elv,magic,2.473454513160368
697,elv,magic,1.0
698,elv,magic,3.379539170231107
699,elv,magic,1.8520977269168206
700,orc,combat,3.0117939990681055
701,orc,combat,2.7665063748515513
702,elv,magic,1.6250126142305352
703,elv,combat,2.3173197780365546
704,elv,magic,2.027342376254832
705,orc,combat,1.8592811056587877
706,elv,combat,3.0488222398854683
707,orc,magic,2.032394322770553
708,orc,dance,1.3623169123037848
709,elv,dance,1.6578295237966942
710,elv,magic,2.6249846990509327
711,elv,magic,1.973030769047917
712,elv,dance,1.6205768553913182
713,elv,magic,2.2537849076501484
714,orc,magic,2.0342049356241563
715,elv,magic,2.5836308024172796
716,orc,combat,3.40559146663371
717,elv,magic,3.051112719516103
718,orc,combat,3.9096994845180757
719,elv,magic,2.32817682933897
720,elv,magic,1.0
721,orc,combat,3.6674129866918097
722,orc,combat,3.8365088975537986
723,elv,combat,3.26793017441348
724,orc,combat,3.114967338684814
725,orc,combat,4.156498177952806
726,orc,magic,1.6772007361861965
727,orc,magic,1.4195448489811824
728,orc,combat,4.650135374101756
729,orc,combat,3.6089831519410125
730,orc,magic,1.2492890467039
731,elv,magic,2.0174721673704528
732,orc,magic,2.6340346366448357
733,orc,combat,2.534415256789603
734,elv,magic,2.2260433061016416
735,orc,combat,3.6385370519340845
736,orc,combat,2.5401922128618657
737,elv,dance,1.3598564199439795
738,orc,combat,3.615248162490218
739,orc,combat,3.1958646620447255
740,elv,magic,2.415217556418172
741,elv,magic,3.080778725314202
742,elv,magic,1.4918079582690864
743,elv,combat,3.4670096201990708
744,elv,dance,1.4860874675459026
745,elv,combat,3.9886643678086284
746,orc,combat,3.248389592225166
747,elv,magic,2.2759316979785957
748,elv,magic,1.9481624841550222
749,orc,dance,1.0
750,elv,magic,2.2900255381127588
751,orc,combat,3.484393797429056
752,elv,magic,2.535062614855133
753,elv,magic,2.066437925116965
754,elv,magic,2.329533703111001
755,orc,combat,4.346973907547567
756,elv,dance,1.5033500173130045
757,elv,magic,2.3129598409616134
758,elv,dance,1.9120952649628729
759,orc,magic,2.0026494877566434
760,elv,magic,2.08478489267218
761,orc,combat,4.390822546841544
762,orc,magic,1.8461940965100374
763,elv,magic,1.705199369134663
764,orc,magic,2.3524017970505984
765,orc,combat,2.4246813201404995
766,orc,combat,2.420116177708966
767,orc,magic,2.4794400850930756
768,orc,combat,2.770018368706335
769,elv,dance,1.857279449172855
770,orc,combat,3.6497857304646963
771,orc,magic,2.098666894094874
772,elv,dance,1.3760182323630874
773,elv,combat,4.005015001631095
774,elv,magic,1.7876789610208912
775,orc,magic,1.0533029459281265
776,orc,magic,1.9660393806379584
777,elv,dance,1.7968884102363916
778,elv,magic,3.531339352101374
779,orc,magic,2.0243953396986263
780,orc,magic,2.752120597657326
781,elv,magic,2.207043541956256
782,orc,combat,3.380028146525745
783,orc,dance,1.4795283398597485
784,elv,combat,3.8328664749039634
785,orc,combat,2.6043337544245864
786,elv,dance,1.4528120127753763
787,elv,magic,1.5229398373559047
788,elv,magic,2.5409193250578945
789,orc,combat,2.924237949113221
790,orc,combat,3.2092880505609576
791,elv,combat,3.1987092442547875
792,orc,combat,3.0113576873477217
793,elv,magic,1.7177606046532552
794,elv,magic,1.7732275410906255
795,orc,combat,3.0867676886737465
796,elv,magic,1.9399060134431647
797,orc,combat,2.5702863484455465
798,elv,magic,2.0592438749374167
799,elv,magic,2.7382109667183916
800,orc,combat,2.901196748315484
801,orc,magic,1.8986312414436655
802,orc,magic,1.6027760781446587
803,orc,combat,4.098388907083422
804,orc,combat,3.0976737949042263
805,elv,magic,1.9217924745134132
806,elv,combat,3.63680050515118
807,orc,combat,2.0742206611080074
808,orc,combat,2.8715728180313933
809,elv,magic,2.1275591198616017
810,elv,dance,1.7781166699020867
811,elv,magic,3.239854996746648
812,elv,magic,2.6301960548951153
813,elv,combat,2.996168000233894
814,orc,combat,2.95154723763434
815,orc,combat,2.8414308323433364
816,orc,magic,1.6894747505497278
817,orc,combat,4.25769336830308
818,orc,combat,2.7571595585208373
819,orc,combat,3.7930943676110638
820,elv,magic,2.506728808222974
821,orc,combat,3.2292560365799314
822,orc,combat,3.6562858005176335
823,orc,combat,1.8935212638752121
824,elv,magic,2.053440751040579
825,elv,magic,2.395447027765549
826,orc,combat,2.8157089187689754
827,orc,magic,1.8972369257077415
828,orc,dance,1.394285356137172
829,elv,magic,1.6788179050024978
830,elv,dance,1.7884596067222696
831,orc,combat,5.0
832,orc,magic,1.7683951520018153
833,elv,magic,2.6654749925676198
834,orc,magic,1.0
835,orc,combat,3.2012129237712785
836,orc,combat,3.493494430935071
837,orc,combat,3.043265616822217
838,elv,magic,2.577161415665745
839,elv,magic,2.342460659501857
840,elv,magic,1.2680094044799917
841,orc,magic,1.360158364488593
842,orc,magic,1.0019225582134021
843,elv,magic,2.562599675082046
844,elv,magic,1.9213165085722206
845,orc,magic,1.64204918578045
